year_month,year,month,quarter,local_consumption,external_consumption,total_tourism_consumption,local_consumption_ratio,external_consumption_ratio,local_national_consumption_ratio,external_national_consumption_ratio,total_national_consumption_ratio,tourism_consumption_scaled,national_ratio_scaled,tourism_consumption_demand_score,is_consumption_peak_month
2025-01,2025,1,1,8761.0,98849.0,107610.0,8.141436669454512,91.85856333054548,1.4,0.8,0.8360586883520343,0.3378734119262905,0.12717000245353738,0.27466238908446455,0
2025-02,2025,2,1,7527.0,85323.0,92850.0,8.106623586429725,91.89337641357027,1.4,0.8,0.8218238896460015,0.0,0.0,0.0,0
2025-03,2025,3,1,9902.0,111564.0,121466.0,8.152075477911515,91.84792452208849,1.6,0.9,0.9157416783088882,0.6550532219297245,0.8390371835485384,0.7102484104153686,0
2025-04,2025,4,2,9226.0,103267.0,112493.0,8.20139919817233,91.79860080182766,1.6,0.9,0.8911235168504515,0.449650909923315,0.6191049092871417,0.500487109732463,0
2025-05,2025,5,2,10726.0,119873.0,130599.0,8.212926592087229,91.78707340791277,1.6,0.9,0.911623688911409,0.864118118347259,0.802248133517284,0.8455571228982666,1
2025-06,2025,6,2,9314.0,106238.0,115552.0,8.060440321240653,91.93955967875934,1.5,0.9,0.9035148111702368,0.519674945633513,0.7298055213289372,0.5827141183421403,0
2025-07,2025,7,3,8778.0,109746.0,118524.0,7.406094968107725,92.59390503189228,1.5,0.9,0.8797612165769566,0.5877074510701616,0.517597063373886,0.5666743347612789,0
2025-08,2025,8,3,8904.0,114549.0,123453.0,7.212461422565673,92.78753857743432,1.5,0.9,0.8866737148750714,0.7005379420853841,0.5793515316796993,0.6641820189636787,0
2025-09,2025,9,3,9502.0,103361.0,112863.0,8.419056732498694,91.5809432675013,1.6,0.8,0.8794400470580644,0.45812063637404155,0.5147278181285557,0.47510279090039576,0
2025-10,2025,10,4,12224.0,124311.0,136535.0,8.953015710257443,91.04698428974257,1.7,0.9,0.9337590821552064,1.0,0.9999999999999991,0.9999999999999997,1
2025-11,2025,11,4,11761.0,117217.0,128978.0,9.11860937524229,90.88139062475771,1.6,0.9,0.9084525146944368,0.8270115600320476,0.7739176849256895,0.81108339750014,1
2025-12,2025,12,4,11073.0,110090.0,121163.0,9.13892855079521,90.86107144920479,1.4,0.8,0.8368060107096915,0.6481172027011564,0.1338463867157591,0.49383595790553714,0
